Name,RT [min],c_19,c_36,c_73,c_25,c_70,c_31,c_47,c_33,c_7,c_23,c_67,c_49,c_57,c_30,c_48,c_64,c_40,c_43,c_44,c_32
83.0369_1.67,1.668,2425.311352,1661.08285,2703.560715,901.1181738,2384.100277,2758.239763,1129.436334,1500.315021,3069.586147,1742.596396,2284.52477,1124.701506,1784.056703,1214.057874,1887.739096,1957.63228,1243.079746,2226.16182,1465.356843,2774.504856
85.0525_2.00,1.997,8907.215636,10150.31876,10788.53947,6116.363849,6200.001842,155.803858,7202.943796,19120.72139,12246.00251,7459.430754,7262.417923,7978.522696,8931.087582,7030.805505,4783.497921,8864.605296,8513.160655,7883.498308,188.1024233,9490.937587
85.0888_2.02,2.018,25043.24204,15821.94317,13543.72685,19580.25146,7666.055583,20324.87635,12850.15881,13024.68988,14540.85335,15840.85592,14941.55187,14623.87568,7532.924638,8707.086577,12705.25736,14485.17147,15786.47435,16103.97243,24149.65619,15193.06958
85.0889_2.08,2.082,37733.41983,36710.58251,16004.26952,19580.25146,16218.0231,51303.95389,19228.01157,13024.68988,26747.84038,15840.85592,14941.55187,17561.98351,7532.924638,16852.03676,34303.93057,17698.99474,17666.85862,33461.1501,32190.64359,15193.06958
86.0366_1.96,1.956,540.0022492,2484.340138,4900.830367,1195.193282,389.2025643,2066.283848,2575.561232,1182.916706,800.7709822,3064.820754,2298.528718,594.7971041,6701.773893,1239.057638,7169.85391,6750.87077,241.1116418,422.6313899,415.1344462,1240.895682
88.0312_2.96,2.963,2808.361696,6096.37565,3084.995087,4187.139855,4413.470554,5611.66122,3894.640627,2494.174184,3674.358683,4810.914547,3760.371828,5440.649762,3589.625764,3268.760483,4190.308886,4783.018258,5275.088789,5167.16952,6491.175825,2683.746833
90.0467_2.97,2.966,778.3554326,1928.233547,1132.752052,1359.620121,1866.780073,1393.2076,1069.476678,806.2627779,814.1139935,1257.425289,1053.155841,1734.426056,1309.020053,735.5559325,1378.004776,1686.363628,2030.680754,1649.366557,2079.877852,690.4826213
90.0468_6.81,6.808,2840.860554,3748.154855,3843.766451,862.0034898,2363.775057,3239.571437,1515.821481,2500.967092,2056.970589,3034.925053,1105.831903,2986.58331,1753.801295,4254.859035,2178.223554,3093.711769,1241.662293,2586.465232,2927.688412,2504.84422
90.0468_1.88,1.88,2831.027222,3435.88351,2124.425106,2746.260005,1659.264672,3037.209971,1352.651314,1433.883056,2990.520628,4295.756156,1777.458674,3055.707523,1889.270804,1803.034844,1006.665627,2594.96979,2524.173627,2057.002823,2847.160674,1974.924903
90.0472_2.96,2.958,1087.181508,2158.655746,1286.312618,1704.430627,1586.945499,2125.168836,1559.805709,1371.95133,1456.111474,2141.749867,1387.448575,1856.815961,1524.092828,1130.294808,1742.367034,1992.109863,1843.51999,2292.668538,2582.338365,1165.742522
94.0087_1.13,1.133,368.6751006,173.6483019,302.3758088,349.7601393,385.9824445,250.5663648,594.5123844,573.5434211,106.5712998,182.0063584,265.970984,40.23844063,180.0843165,301.7749734,219.7701935,559.8737347,1067.137758,253.401364,90.80260396,127.257741
94.0417_2.54,2.536,462.1413106,1327.855226,572.989709,901.2610125,605.6993527,1044.30061,606.5923409,722.2247756,592.3787802,1086.286592,573.3844477,1092.052278,524.598778,412.5609757,637.2887481,534.439134,934.7554785,1325.565982,1479.447345,1178.600133
94.0419_1.80,1.802,1949.968834,2110.039668,2052.878053,2495.864969,2428.578596,12465.40502,2589.132562,1691.69378,789.6653621,9764.890795,2226.123804,1965.19384,4435.45873,669.6858575,8349.536512,2347.630231,6042.789757,7854.608675,6931.03175,4683.611741
94.0419_1.88,1.879,20466.39844,25163.35584,20098.56139,20647.39427,10330.56862,22024.15814,8518.266644,15526.99422,19115.40516,20287.68837,15551.28457,21245.66387,8533.542643,12876.24658,7076.090312,18152.8726,22035.72708,19707.08914,21913.51731,10201.88197
96.0576_6.45,6.45,672.8007498,819.2308306,486.6972601,1208.624581,945.9148148,4990.843114,387.3584046,993.2627327,957.5986004,555.1661143,713.6634183,776.4822248,789.2701546,399.0251434,426.5818018,793.8397057,559.8378536,755.6933616,878.5741075,854.5304954
102.0469_2.54,2.535,77454.74718,138352.6739,80717.11159,52739.63093,85321.34868,166670.1427,79028.33272,88362.64738,83366.06404,103987.4019,68812.07154,83224.90196,86447.03342,64496.53278,88450.65322,75549.4038,118022.5774,87586.55533,150020.4669,104074.365
102.0470_4.07,4.07,296.9760588,335.323295,562.0930654,2017.498693,357.1774323,4295.784637,1298.901413,674.0701114,408.5105869,991.9117623,1054.610555,500.4742179,202.2326145,190.2337648,390.6785728,1682.308577,537.891002,4198.891181,2176.125848,781.3565993
104.0262_3.27,3.271,486.8323254,264.119061,574.5565351,577.9279967,259.7012902,179.1153579,1425.209662,385.6368431,3334.791397,677.2362612,1137.746585,870.7871466,890.2285185,977.5308206,505.0297335,748.7752306,1020.635711,1215.462896,42.97989461,683.0390651
104.0474_1.96,1.96,294.4488186,3202.344951,6038.550892,731.6779673,352.3899277,3137.86036,5775.153149,325.2886911,1099.822039,3295.872416,2839.674621,429.2634746,8846.225171,401.6867902,6841.119831,8944.899597,977.2621586,372.1095775,418.3917884,1482.371145
104.0626_5.79,5.791,1476.697704,659.6849791,525.4401183,2307.278008,638.2647378,1736.864966,2041.751446,489.8735597,700.8200853,3302.10309,1943.691315,421.6211652,1861.824179,382.0441477,1913.332158,1197.582524,467.8661677,3493.835459,2633.206925,189.619653
106.0204_11.94,11.944,1975.876805,5916.012296,3086.189227,1160.362109,4840.587742,9618.965495,6121.769845,1025.400876,775.3497745,743.783028,1114.535748,1686.904637,4163.752734,1576.02002,3902.291461,1080.556775,1476.998742,2812.534891,5525.410323,2104.737977
106.0418_2.54,2.535,543.6304235,851.7001018,522.5894688,757.3838308,475.3423927,971.356265,420.4340163,528.6213913,563.8734075,605.390108,406.3195282,481.1201755,499.6423621,329.5755547,501.4710564,386.1831121,814.4048599,1005.829181,1245.794807,823.6361916
110.0734_6.46,6.455,428.5590479,197.8646818,696.3739995,740.1061658,556.4185611,5557.563581,523.483842,750.650016,260.8788066,656.8808048,645.0845359,579.3040308,565.9491684,233.4071715,594.7829114,621.0135691,480.1224228,800.9018628,575.361781,749.7871395
112.0136_1.27,1.272,2398.576195,2387.487606,1884.15672,1386.450822,1797.903548,3602.252033,2243.952133,3002.747888,1481.296576,1179.81703,1654.111,1601.480446,1519.46079,940.974235,2044.795017,2658.769177,3397.853441,2118.840313,2642.861834,1431.355257
112.0273_1.84,1.835,993.9829029,895.1801326,1288.495318,2552.668356,1794.553758,1712.21434,1444.258445,1940.78765,1448.91022,1774.069788,2568.856534,1574.202242,2512.536084,1187.462502,1317.864698,2230.890223,1905.331858,598.4490586,1452.607907,919.6808948
113.0841_3.06,3.06,1571.815908,646.8352193,3129.816084,766.12571,330.2328136,1476.879923,503.3393919,498.0942823,905.9296299,1141.665341,1413.271605,2101.877885,1657.312388,753.4912347,1154.927872,1913.624947,1006.336278,1655.046448,1423.376914,1458.171324
113.0841_2.98,2.975,2366.727192,8329.417893,748.7109375,5016.557347,2599.211257,2412.166574,6618.599621,1013.072,2146.392005,2369.648796,1196.464234,666.5095968,1719.729447,4168.076723,2080.187416,998.7067839,2559.308051,500.2560217,15542.9783,297.0781142
114.0318_2.67,2.674,370.2898385,360.7728917,1044.158728,263.5852535,235.0453325,852.5712101,311.6642766,258.4980527,341.0503073,1190.603922,447.6168527,1102.723481,101.8280794,146.3728505,432.994932,428.8206531,182.8603079,1086.488833,307.1327623,207.5667105
114.0469_6.08,6.078,2822.067277,1050.660121,661.8343678,3477.387173,805.1685435,1785.966994,4082.320856,1351.520541,2846.397735,2987.986237,702.8285927,3113.877123,3291.577327,590.1727656,3066.578294,1387.345752,433.3609205,1722.31567,1626.933429,1437.628983
114.0470_6.77,6.77,3046.435581,1746.54324,3893.063817,2378.191065,4212.948679,3166.78794,2169.40036,3060.770792,1753.195322,2892.576089,3521.955493,4264.823513,2473.111669,4514.199899,2151.739012,3979.45591,1118.474289,1749.587647,1903.554727,1851.681898
114.0470_2.96,2.962,2617.269031,11047.76853,5367.54218,8506.756061,8172.647799,11421.44522,7007.931469,6525.16077,6817.57998,9782.870465,6646.948629,9470.043657,8151.634155,5752.392128,8196.842945,9793.500185,10251.83406,10067.98418,11883.93245,4518.858242
115.9781_11.84,11.841,5826.007129,120.733858,33195.29427,10587.85986,11765.13013,11540.18512,6353.688335,132692.5619,35660.75272,9938.183812,7577.674876,27564.88892,87516.63723,37277.87292,7654.209099,9400.619388,31686.25482,78471.64942,120033.605,187418.2126
117.0578_2.96,2.961,4451.752365,12116.85036,5872.052416,8718.155234,7574.570702,10393.59258,6798.196849,5614.296771,5978.996874,10120.57483,6775.510412,7845.239606,7424.470221,5333.306842,7887.975915,9094.886307,9626.690886,10464.68191,12009.11687,2886.157254
117.0790_1.19,1.185,89274.70422,81714.08841,53604.03321,65979.34017,71982.37427,89320.74564,63471.33231,37586.32368,97481.73302,60025.16843,91318.10218,124980.2378,39975.63297,42758.1183,41985.05838,65135.8584,92893.28964,96625.2172,95131.40733,62752.59868
117.0790_1.11,1.114,37701.4368,1910.075782,7995.109083,9499.729979,48997.69593,34551.24707,8556.013764,1450.488652,97481.73302,18028.89553,91318.10218,21971.97797,19844.07256,24617.9716,6439.138274,65135.8584,28301.49829,19273.55188,71889.77786,53218.54785
118.0105_1.26,1.261,676.9626861,570.30316,451.2398416,496.5909705,473.4385586,593.8432588,649.0282835,809.7037332,546.1926066,1012.29114,1174.413044,1391.721278,1755.096071,780.6209667,1342.841928,901.0169909,988.0514254,1458.53741,2092.001991,1552.710889
118.0419_1.87,1.874,22472.15208,27840.15847,21185.58603,22662.32036,13517.96573,24423.69711,9490.010157,15795.02844,20979.43632,30805.07364,16989.36509,24853.97175,5024.479249,14304.8778,15168.61211,19969.31549,22473.82499,22421.1353,24148.85098,11222.4794
119.0735_2.54,2.542,69971.17385,124410.4994,72534.98003,41745.54744,76882.2466,150469.4929,72644.90956,79053.3252,75255.32284,95432.7124,61596.15933,73419.80277,77372.56415,58920.52649,79830.06534,71493.91057,106293.239,68835.7886,134487.9011,92839.83618
119.0736_4.07,4.073,208.0158045,253.0173046,398.1425615,1503.210432,210.4310229,3376.713048,928.7682202,461.5077065,217.4290384,690.4296729,728.1146307,302.8504898,110.93676,135.8576811,265.2570499,1215.775056,432.4230395,3162.838036,1726.857176,540.8527787
122.0367_1.79,1.788,2120.764541,1051.721938,2615.995357,1354.698601,1003.068092,7808.613057,1313.882226,1307.703305,837.6559626,6477.844115,1961.495718,1269.349583,2117.695365,1725.994248,3706.50939,1714.310977,2953.508153,3630.996332,3050.732854,2164.110632
122.0368_1.87,1.874,9190.727623,11117.45905,2615.995357,9398.191612,1003.068092,9372.561738,1313.882226,6994.990924,9175.589396,7004.139252,1961.495718,9684.085091,2117.695365,5711.196785,3651.03652,5330.757024,2953.508153,8392.96835,9497.856219,4403.259234
124.0314_11.74,11.743,679.4075724,4140.516324,536.9048778,578.1244003,2109.084464,5612.493017,5954.069961,594.6706225,1982.200039,8586.793969,8672.329852,3779.093955,1393.608454,882.1306811,8047.288558,11010.4019,1950.519697,666.0036685,2596.397459,735.1645598
124.0891_6.45,6.451,430.1819899,541.2034708,265.9152132,234.4789072,552.3416747,4115.538642,451.1324321,312.0363089,494.9382448,527.7152461,602.2308963,279.2283178,580.8213282,531.8183743,516.2659613,436.1764736,249.5419538,411.0687895,634.6619396,649.9772596
126.0294_1.96,1.958,271.2528207,2834.998928,5194.06612,643.9151358,329.7420241,2851.34519,5213.422267,292.0049192,995.6353112,2910.492275,2536.812552,373.3279688,7608.65383,378.0787066,5671.648663,7992.14495,884.1483204,338.4250626,366.5394363,1347.061449
127.0548_6.76,6.761,2571.850518,2527.097284,4257.49595,2223.545506,4833.324851,4505.844437,2445.646374,2701.442208,1246.820336,3265.557674,2768.853885,4133.142294,1824.971263,2023.347701,3292.682374,3960.241163,3466.539585,3709.378535,1991.217344,2989.927883
127.0548_6.84,6.844,1927.424237,1258.464836,1599.204937,1265.590154,1600.659716,1800.910425,1108.380716,1406.688002,1458.63171,2031.17601,855.9976768,1138.951594,950.0159891,2269.110111,2404.007384,1269.523078,2431.171798,1773.683895,1518.95675,1575.111619
127.0549_6.08,6.077,4147.37676,779.1435028,422.685715,6307.576615,2352.477471,2210.531405,4719.726178,1646.288128,3197.296181,3230.352569,722.5869677,1570.601465,1511.447146,764.1904025,2953.096128,1146.339054,556.0373173,2855.357389,1325.824208,750.227533
127.9435_1.05,1.048,2357.388623,3931.997023,3043.051302,2263.697863,126.8975591,1596.428867,2447.100701,6045.712062,10276.0656,25646.27619,14433.90083,1266.426041,23587.57532,15408.93402,14463.16143,13957.52764,7069.022757,3900.644306,4654.627713,3881.064674
129.0426_1.68,1.677,15406.82632,10177.44451,16567.03421,9102.776357,16806.19537,21790.1134,12064.35946,9025.677116,13373.09991,10656.18238,11459.14368,18122.14024,9087.882778,12421.63352,14886.31303,17801.32618,10700.88444,8213.617979,14073.37956,24339.52362
129.0579_4.64,4.636,2023.568372,341.6144861,428.0058313,182.4601232,2917.483667,844.24444,1471.563894,5801.435134,4650.962479,536.3404422,1667.451609,717.5545723,1048.149825,325.4563301,3842.594072,1719.313733,570.0376751,1031.254188,315.1569717,275.3499655
129.0579_4.23,4.23,1859.870164,2782.749778,1531.734488,4231.869554,1059.339843,2127.464246,2686.18765,2251.120298,2626.832309,2256.697384,2840.52546,1549.172597,2059.24769,1825.623325,1411.798508,1794.743853,2023.516987,1563.583576,3258.176839,1121.085786
129.0579_2.98,2.981,1458.985921,3467.523612,1971.223096,2430.95957,2538.793342,3184.137744,2130.118762,1557.459237,1976.463893,2553.908999,2216.56049,2989.080551,1895.766156,1964.76465,2302.465325,2587.575201,2845.237649,2705.871641,3355.197326,1697.43474
129.0792_1.30,1.304,2190.113931,2878.990778,1083.81645,1333.896062,1895.122088,1234.334589,839.4688331,3729.036522,1358.890086,2055.440767,1710.739057,1246.795022,891.2737516,1760.016106,2893.748234,1941.113116,1648.279541,1400.796969,1618.003958,1437.417168
