"Cluster Representation";"All Cluster Members"
"104.0474_1.96*";"104.0474_1.96 + 86.0366_1.96 + 126.0294_1.96 + 232.0528_1.96 + 246.0418_1.96 + 261.0062_1.96 + 262.0141_1.96 + 292.0471_1.96 + 350.0888_1.97";" "
"187.0634_2.96*";"187.0634_2.96 + 88.0312_2.96 + 90.0467_2.97 + 90.0472_2.96 + 114.0470_2.96 + 117.0578_2.96 + 129.0579_2.98 + 131.0736_2.96 + 141.0579_2.96 + 142.0657_2.96 + 145.0527_2.96 + 158.0844_2.97 + 204.0899_2.96 + 143.0735_2.96 + 169.0527_2.96 + 226.0721_2.96";" "
"164.0474_1.88*";"164.0474_1.88 + 90.0468_1.88 + 94.0419_1.88 + 118.0419_1.87 + 181.0738_1.86 + 203.0560_1.88";" "
"165.0789_2.54*";"165.0789_2.54 + 94.0417_2.54 + 106.0418_2.54 + 130.0416_2.53 + 130.0419_2.54 + 148.0526_2.53 + 249.0315_2.53 + 102.0469_2.54 + 119.0735_2.54";" "
"164.0472_1.80*";"164.0472_1.80 + 94.0419_1.80 + 122.0367_1.79 + 146.0367_1.80";" "
"96.0576_6.45*";"96.0576_6.45 + 110.0734_6.46 + 124.0891_6.45 + 138.1047_6.45 + 152.1202_6.45 + 166.1360_6.45";" "
"312.1476_4.07*";"312.1476_4.07 + 102.0470_4.07 + 119.0736_4.07";" "
"179.0582_3.27*";"179.0582_3.27 + 104.0262_3.27";" "
"535.3277_5.75*";"535.3277_5.75 + 104.0626_5.79 + 140.0627_5.81 + 200.1204_5.80 + 306.1983_5.80 + 330.2196_5.79 + 338.2245_5.80 + 356.2350_5.80 + 391.2721_5.81 + 396.2276_5.80 + 541.3164_5.78 + 559.3275_5.81 + 581.3091_5.79 + 324.2088_5.82 + 350.2460_5.81 + 383.2672_5.82 + 388.2225_5.81 + 543.3316_5.82 + 561.3428_5.82 + 585.3428_5.82 + 583.3275_5.78 + 348.2301_5.78 + 300.2091_5.76 + 332.2352_5.83 + 358.2505_5.83 + 380.2538_5.79 + 318.2194_5.76 + 517.3170_5.75 + 192.1152_5.85 + 340.2399_5.84 + 372.2278_5.85 + 392.2538_5.84 + 253.2405_5.79 + 265.2399_5.80 + 375.2985_5.79 + 516.3235_5.74 + 557.3106_5.74 + 312.2090_5.74 + 398.2430_5.86 + 434.1983_5.86 + 352.2615_5.84 + 555.2166_5.74 + 369.2879_5.85";" "
"204.0216_1.28*";"204.0216_1.28 + 112.0136_1.27 + 232.9751_1.28";" "
"292.2404_6.08*";"292.2404_6.08 + 114.0469_6.08 + 127.0549_6.08 + 140.0628_6.08 + 326.2245_6.06 + 340.2403_6.08 + 266.2036_6.09 + 284.2141_6.09 + 380.2328_6.08 + 308.2142_6.08 + 316.2402_6.10 + 356.2327_6.09 + 332.2328_6.08 + 308.2354_6.09 + 138.1045_6.09 + 258.1986_6.08 + 276.2093_6.09 + 348.2276_6.07";" "
"173.9840_1.27*";"173.9840_1.27 + 118.0105_1.26 + 199.9998_1.27 + 218.0105_1.28 + 308.0420_1.29 + 264.0158_1.27";" "
"124.0314_11.74*";"124.0314_11.74 + 147.9950_11.72";" "
"342.2560_6.76*";"342.2560_6.76 + 127.0548_6.76 + 292.2192_6.76 + 310.2298_6.76";" "
"189.0790_4.64*";"189.0790_4.64 + 129.0579_4.64";" "
"129.0579_4.23*";"129.0579_4.23 + 175.0633_4.23";" "
"131.0946_2.11*";"131.0946_2.11 + 153.0767_2.11";" "
"132.0245_1.41*";"132.0245_1.41 + 149.0509_1.39";" "
"136.0385_2.07*";"136.0385_2.07 + 151.0494_2.07 + 268.0809_2.07 + 283.0917_2.07 + 290.0629_2.08";" "
"138.0317_5.27*";"138.0317_5.27 + 180.0786_5.27";" "
"208.1213_3.06*";"208.1213_3.06 + 147.1048_3.06";" "
"150.0680_4.84*";"150.0680_4.84 + 294.0415_4.84";" "
"150.0892_2.24*";"150.0892_2.24 + 172.0711_2.24";" "
"171.1259_3.39*";"171.1259_3.39 + 153.1153_3.39 + 193.1077_3.39";" "
"180.1514_6.90*";"180.1514_6.90 + 162.1408_6.90 + 198.1621_6.90";" "
"187.1209_3.84*";"187.1209_3.84 + 169.1103_3.84 + 533.3047_3.86";" "
"335.2436_5.69*";"335.2436_5.69 + 171.1623_5.68 + 408.2487_5.68 + 304.2037_5.68 + 420.2488_5.69";" "
"257.9876_3.52*";"257.9876_3.52 + 179.0020_3.53 + 290.0137_3.54";" "
"180.0648_2.59*";"180.0648_2.59 + 264.0174_2.59";" "
"180.0786_5.46*";"180.0786_5.46 + 222.0893_5.47 + 262.0814_5.46";" "
"336.0568_1.35*";"336.0568_1.35 + 184.0233_1.36";" "
"240.1337_5.17*";"240.1337_5.17 + 186.1256_5.18";" "
"278.2248_5.93*";"278.2248_5.93 + 186.1256_5.92 + 194.1309_5.92 + 226.1572_5.92 + 274.1936_5.90 + 276.2091_5.94 + 292.2041_5.91 + 294.2196_5.93 + 306.2196_5.91 + 324.2301_5.91 + 343.2722_5.91 + 348.2276_5.92 + 378.2381_5.92 + 349.2593_5.90 + 616.5157_5.91 + 334.2120_5.95 + 318.2172_5.91";" "
"189.9566_1.28*";"189.9566_1.28 + 233.9828_1.28";" "
"191.0583_2.37*";"191.0583_2.37 + 208.0850_2.37";" "
"434.2664_6.53*";"434.2664_6.53 + 192.0059_6.52";" "
"594.4858_6.73*";"594.4858_6.73 + 206.1673_6.70 + 250.1932_6.69 + 260.2142_6.69 + 314.2455_6.72 + 476.3859_6.69 + 494.3970_6.70 + 514.3639_6.69 + 574.4595_6.71 + 590.4517_6.70 + 592.4700_6.71 + 614.4522_6.71 + 632.4421_6.71 + 278.2245_6.72 + 402.3499_6.72 + 448.3551_6.73 + 470.3370_6.71 + 516.3789_6.72 + 522.4279_6.72 + 558.4642_6.73 + 576.4753_6.73 + 611.5126_6.72 + 616.4674_6.72 + 643.4030_6.73 + 650.4048_6.73 + 442.4022_6.74 + 434.3394_6.74";" "
"280.2401_6.02*";"280.2401_6.02 + 208.1825_5.98 + 299.2823_6.00 + 296.2351_6.02";" "
"214.0881_5.54*";"214.0881_5.54 + 228.0673_5.54 + 230.0604_5.55 + 260.0934_5.55 + 264.0870_5.54 + 305.0370_5.56 + 326.1764_5.55 + 342.1494_5.55 + 373.1672_5.55";" "
"520.4130_6.49*";"520.4130_6.49 + 222.1622_6.49 + 502.4024_6.48 + 538.4235_6.48 + 557.4650_6.50 + 560.4043_6.49 + 562.4205_6.48 + 578.2854_6.47";" "
"318.2560_6.84*";"318.2560_6.84 + 234.1622_6.84 + 268.2192_6.84 + 286.2298_6.84 + 402.2083_6.84 + 248.1777_6.83";" "
"238.1417_2.88*";"238.1417_2.88 + 283.1995_2.88";" "
"300.1110_4.65*";"300.1110_4.65 + 240.0900_4.64 + 254.1056_4.65 + 282.1004_4.65 + 332.1373_4.63 + 346.1528_4.65 + 354.1190_4.65 + 370.0840_4.65";" "
"250.1206_5.74*";"250.1206_5.74 + 282.1468_5.73";" "
"251.9809_1.37*";"251.9809_1.37 + 374.0037_1.36";" "
"282.1943_3.57*";"282.1943_3.57 + 264.1838_3.57";" "
"302.2246_6.03*";"302.2246_6.03 + 264.1878_6.02 + 282.1984_6.02 + 354.2171_6.02 + 340.1713_6.03 + 342.2170_6.01";" "
"270.1983_5.29*";"270.1983_5.29 + 438.1386_5.30";" "
"298.2507_6.86*";"298.2507_6.86 + 280.2401_6.85 + 312.2670_6.86 + 316.2616_6.86 + 390.3497_6.84 + 634.4478_6.87 + 518.3960_6.82";" "
"282.1678_3.11*";"282.1678_3.11 + 299.1945_3.11 + 304.1497_3.11 + 327.2256_3.11";" "
"320.2028_6.76*";"320.2028_6.76 + 282.2559_6.75 + 336.1600_6.76 + 336.2518_6.77 + 338.1756_6.75 + 340.1710_6.76 + 363.1991_6.75 + 381.1977_6.76 + 602.4586_6.75 + 603.4615_6.75 + 620.4311_6.75 + 884.7156_6.74 + 352.2291_6.76 + 366.2082_6.76 + 368.2011_6.76 + 370.2016_6.76 + 379.2022_6.78";" "
"320.2716_7.05*";"320.2716_7.05 + 288.2452_7.05 + 343.2568_7.05";" "
"290.2247_6.01*";"290.2247_6.01 + 304.2401_6.00 + 328.2398_6.00 + 330.2167_6.00";" "
"292.1714_6.43*";"292.1714_6.43 + 308.1437_6.43 + 310.1442_6.43 + 312.1397_6.43 + 324.1978_6.43 + 338.1768_6.43 + 546.3955_6.43";" "
"294.2559_6.92*";"294.2559_6.92 + 316.2377_6.92";" "
"296.0074_1.34*";"296.0074_1.34 + 342.0125_1.33 + 386.0386_1.32";" "
"308.2355_5.89*";"308.2355_5.89 + 359.2671_5.88";" "
"310.2507_6.20*";"310.2507_6.20 + 337.1931_6.20";" "
"314.2246_5.95*";"314.2246_5.95 + 326.2244_5.95 + 366.2170_5.96 + 338.2613_5.96 + 430.2396_5.96";" "
"781.5625_8.52*";"781.5625_8.52 + 318.1868_8.52 + 336.1598_8.52 + 501.3216_8.52 + 755.5463_8.50 + 757.5547_8.50 + 782.5655_8.50 + 783.5670_8.53 + 803.5435_8.52 + 803.5478_8.51 + 384.3391_8.48";" "
"785.5940_9.99*";"785.5940_9.99 + 318.1871_9.99 + 334.1593_9.99 + 336.1599_9.99 + 338.1554_10.00 + 505.3533_9.99 + 743.5466_10.01 + 788.6041_9.99 + 1197.3698_9.98 + 807.5756_9.99";" "
"523.3640_6.53*";"523.3640_6.53 + 318.1871_6.51 + 329.1574_6.50 + 330.1650_6.50 + 334.1596_6.51 + 336.1599_6.51 + 338.1552_6.51 + 361.1835_6.52 + 364.1926_6.51 + 546.3484_6.52 + 547.3510_6.52 + 598.4269_6.51 + 545.3455_6.52 + 561.3193_6.52 + 347.2820_6.53 + 1004.6807_6.54 + 1046.7278_6.54 + 1047.7321_6.53 + 481.3167_6.54";" "
"318.2558_6.19*";"318.2558_6.19 + 342.2561_6.17";" "
"759.5780_9.72*";"759.5780_9.72 + 320.2026_9.71 + 338.1754_9.71 + 340.1708_9.71 + 477.3218_9.71 + 770.5687_9.70 + 781.5587_9.70 + 1167.3311_9.71 + 767.5821_9.70";" "
"360.1600_6.47*";"360.1600_6.47 + 321.2669_6.46 + 358.1597_6.47 + 362.1552_6.46 + 342.1871_6.47";" "
"383.2519_4.67*";"383.2519_4.67 + 326.1937_4.68 + 388.2073_4.67 + 429.2937_4.67 + 848.0277_4.69";" "
"326.1941_3.31*";"326.1941_3.31 + 340.1733_3.32 + 343.2206_3.32 + 348.1761_3.31 + 371.2517_3.32";" "
