MW;c_19;c_36;c_73;c_25;c_70;c_31;c_47;c_33;c_7;c_23;c_67;c_49;c_57;c_30;c_48;c_64;c_40;c_43;c_44;c_32
83.0369_1.67;2.425.311.352;166.108.285;2.703.560.715;9.011.181.738;2.384.100.277;2.758.239.763;1.129.436.334;1.500.315.021;3.069.586.147;1.742.596.396;228.452.477;1.124.701.506;1.784.056.703;1.214.057.874;1.887.739.096;195.763.228;1.243.079.746;222.616.182;1.465.356.843;2.774.504.856
85.0525_2.00;8.907.215.636;1.015.031.876;1.078.853.947;6.116.363.849;6.200.001.842;155.803.858;7.202.943.796;1.912.072.139;1.224.600.251;7.459.430.754;7.262.417.923;7.978.522.696;8.931.087.582;7.030.805.505;4.783.497.921;8.864.605.296;8.513.160.655;7.883.498.308;1.881.024.233;9.490.937.587
85.0888_2.02;2.504.324.204;1.582.194.317;1.354.372.685;1.958.025.146;7.666.055.583;2.032.487.635;1.285.015.881;1.302.468.988;1.454.085.335;1.584.085.592;1.494.155.187;1.462.387.568;7.532.924.638;8.707.086.577;1.270.525.736;1.448.517.147;1.578.647.435;1.610.397.243;2.414.965.619;1.519.306.958
85.0889_2.08;3.773.341.983;3.671.058.251;1.600.426.952;1.958.025.146;162.180.231;5.130.395.389;1.922.801.157;1.302.468.988;2.674.784.038;1.584.085.592;1.494.155.187;1.756.198.351;7.532.924.638;1.685.203.676;3.430.393.057;1.769.899.474;1.766.685.862;334.611.501;3.219.064.359;1.519.306.958
90.0468_6.81;2.840.860.554;3.748.154.855;3.843.766.451;8.620.034.898;2.363.775.057;3.239.571.437;1.515.821.481;2.500.967.092;2.056.970.589;3.034.925.053;1.105.831.903;298.658.331;1.753.801.295;4.254.859.035;2.178.223.554;3.093.711.769;1.241.662.293;2.586.465.232;2.927.688.412;250.484.422
94.0087_1.13;3.686.751.006;1.736.483.019;3.023.758.088;3.497.601.393;3.859.824.445;2.505.663.648;5.945.123.844;5.735.434.211;1.065.712.998;1.820.063.584;265.970.984;4.023.844.063;1.800.843.165;3.017.749.734;2.197.701.935;5.598.737.347;1.067.137.758;253.401.364;9.080.260.396;127.257.741
96.0576_6.45*;6.728.007.498;8.192.308.306;4.866.972.601;1.208.624.581;9.459.148.148;4.990.843.114;3.873.584.046;9.932.627.327;9.575.986.004;5.551.661.143;7.136.634.183;7.764.822.248;7.892.701.546;3.990.251.434;4.265.818.018;7.938.397.057;5.598.378.536;7.556.933.616;8.785.741.075;8.545.304.954
104.0474_1.96*;2.944.488.186;3.202.344.951;6.038.550.892;7.316.779.673;3.523.899.277;313.786.036;5.775.153.149;3.252.886.911;1.099.822.039;3.295.872.416;2.839.674.621;4.292.634.746;8.846.225.171;4.016.867.902;6.841.119.831;8.944.899.597;9.772.621.586;3.721.095.775;4.183.917.884;1.482.371.145
106.0204_11.94;1.975.876.805;5.916.012.296;3.086.189.227;1.160.362.109;4.840.587.742;9.618.965.495;6.121.769.845;1.025.400.876;7.753.497.745;743.783.028;1.114.535.748;1.686.904.637;4.163.752.734;157.602.002;3.902.291.461;1.080.556.775;1.476.998.742;2.812.534.891;5.525.410.323;2.104.737.977
112.0273_1.84;9.939.829.029;8.951.801.326;1.288.495.318;2.552.668.356;1.794.553.758;171.221.434;1.444.258.445;194.078.765;144.891.022;1.774.069.788;2.568.856.534;1.574.202.242;2.512.536.084;1.187.462.502;1.317.864.698;2.230.890.223;1.905.331.858;5.984.490.586;1.452.607.907;9.196.808.948
